                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0601,                 1.0238,                 1.2202,                0.50381,                0.47507,                0.45216,                0.29298,                 1.2686,                 1.4944,                   1.37,              0.0080766,              0.0080766,              0.0080766
                     70,                 1.0635,                 1.0167,                 1.2186,                0.44493,                0.47079,                0.42703,                0.27968,                 1.2478,                 1.5496,                 1.3575,              0.0080483,              0.0080483,              0.0080483
                     71,                 1.0709,                 1.0366,                 1.2194,                0.44097,                0.46963,                0.41543,                0.27513,                  1.263,                 1.5204,                 1.3662,                0.00802,                0.00802,                0.00802
                     72,                 1.0477,                 1.0276,                 1.2177,                0.47941,                0.46913,                 0.4417,                0.29071,                 1.2588,                 1.5002,                 1.3619,              0.0079917,              0.0079917,              0.0079917
                     73,                 1.0542,                 1.0191,                 1.2101,                0.47857,                0.44449,                0.42136,                0.27604,                 1.2494,                 1.5401,                 1.3495,              0.0079634,              0.0079634,              0.0079634
                     74,                 1.0516,                 1.0061,                 1.2182,                0.43607,                0.49309,                0.43038,                 0.2855,                 1.2616,                 1.5881,                 1.3601,              0.0079351,              0.0079351,              0.0079351
                     75,                 1.0622,                0.99804,                 1.2158,                0.45712,                0.48998,                 0.4435,                0.28611,                 1.2699,                 1.4949,                 1.3597,              0.0079069,              0.0079069,              0.0079069
                     76,                 1.0285,                0.98847,                 1.2092,                0.54182,                0.41852,                  0.438,                0.28904,                 1.2483,                 1.4685,                 1.3544,              0.0078786,              0.0078786,              0.0078786
                     77,                 1.0333,                0.99622,                 1.2045,                0.48833,                0.44381,                0.44352,                0.29268,                  1.259,                  1.479,                 1.3582,              0.0078503,              0.0078503,              0.0078503
                     78,                 1.0311,                0.99776,                 1.2111,                0.45362,                0.45873,                0.43642,                0.28999,                 1.2562,                 1.4833,                 1.3647,               0.007822,               0.007822,               0.007822
                     79,                 1.0275,                0.97533,                 1.1983,                0.47313,                0.47172,                0.43989,                0.28911,                 1.2653,                 1.4875,                 1.3713,              0.0077937,              0.0077937,              0.0077937
                     80,                 1.0472,                0.99463,                 1.2057,                0.49145,                0.47424,                0.44548,                0.28841,                 1.2677,                 1.4872,                 1.3641,              0.0077654,              0.0077654,              0.0077654
                     81,                 1.0433,                0.97778,                 1.2016,                 0.4927,                0.46209,                0.44174,                 0.2904,                 1.2494,                 1.4948,                 1.3588,              0.0077371,              0.0077371,              0.0077371
                     82,                 1.0319,                0.97244,                 1.2008,                0.45123,                0.47968,                0.43685,                0.28486,                 1.2677,                 1.5297,                 1.3658,              0.0077089,              0.0077089,              0.0077089
                     83,                 1.0449,                0.96123,                 1.2078,                0.47847,                0.45538,                0.44746,                0.29587,                 1.2382,                 1.5135,                 1.3447,              0.0076806,              0.0076806,              0.0076806
                     84,                 1.0299,                0.96214,                 1.2056,                0.49259,                0.49895,                0.47157,                0.30833,                 1.2667,                 1.4297,                 1.3684,              0.0076523,              0.0076523,              0.0076523
                     85,                 1.0238,                0.97545,                 1.2033,                0.47191,                0.49602,                 0.4585,                0.29768,                 1.2436,                 1.4845,                 1.3423,               0.007624,               0.007624,               0.007624
                     86,                 1.0072,                0.95688,                 1.1943,                0.52397,                0.45098,                0.45991,                 0.3041,                  1.258,                 1.4627,                 1.3594,              0.0075957,              0.0075957,              0.0075957
                     87,                 1.0278,                0.94909,                 1.1998,                0.50862,                 0.4269,                0.43474,                0.28637,                 1.2526,                 1.5319,                 1.3584,              0.0075674,              0.0075674,              0.0075674
                     88,                 1.0275,                0.95123,                 1.2016,                 0.5027,                0.46167,                0.45285,                0.30031,                 1.2409,                 1.4844,                 1.3461,              0.0075391,              0.0075391,              0.0075391
                     89,                  1.023,                0.95547,                 1.1901,                 0.4767,                0.47894,                0.44838,                  0.298,                 1.2508,                 1.5205,                 1.3522,              0.0075109,              0.0075109,              0.0075109
                     90,                 1.0204,                0.92928,                 1.1901,                0.48332,                0.45028,                0.45055,                0.29922,                 1.2531,                 1.5124,                 1.3534,              0.0074826,              0.0074826,              0.0074826
                     91,                0.99962,                0.93388,                 1.1827,                0.47998,                 0.4956,                0.45927,                0.30118,                 1.2584,                  1.509,                 1.3592,              0.0074543,              0.0074543,              0.0074543
                     92,                 1.0059,                0.93631,                 1.1845,                0.48815,                0.46209,                0.44721,                0.29235,                 1.2393,                 1.5222,                 1.3468,               0.007426,               0.007426,               0.007426
                     93,                 1.0098,                0.92122,                  1.186,                 0.5214,                0.43067,                0.44134,                0.29194,                 1.2517,                 1.4914,                 1.3536,              0.0073977,              0.0073977,              0.0073977
                     94,                 1.0112,                0.93577,                  1.191,                0.51718,                0.45503,                0.44806,                0.29486,                 1.2562,                 1.5078,                  1.356,              0.0073694,              0.0073694,              0.0073694
                     95,                0.99747,                0.91483,                 1.1845,                0.50007,                0.44419,                0.43278,                0.28666,                 1.2504,                 1.4996,                 1.3572,              0.0073411,              0.0073411,              0.0073411
                     96,                  1.017,                0.91292,                 1.1872,                0.49863,                0.47164,                0.44777,                 0.2921,                 1.2477,                 1.4982,                 1.3551,              0.0073129,              0.0073129,              0.0073129
                     97,                0.98504,                0.91116,                 1.1762,                0.51158,                0.47084,                0.45446,                0.30021,                 1.2541,                 1.4857,                 1.3626,              0.0072846,              0.0072846,              0.0072846
                     98,                0.98523,                0.88409,                 1.1799,                0.52068,                0.45418,                 0.4491,                0.29845,                 1.2743,                 1.5005,                 1.3881,              0.0072563,              0.0072563,              0.0072563
                     99,                0.99671,                0.91027,                  1.178,                0.52233,                0.45455,                0.45237,                0.29663,                 1.2622,                 1.4949,                 1.3717,               0.007228,               0.007228,               0.007228
                    100,                 1.0088,                0.89525,                 1.1844,                 0.4877,                0.45785,                0.44836,                0.29939,                 1.2616,                 1.4941,                 1.3651,              0.0071997,              0.0071997,              0.0071997
