                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.95348,                0.85617,                 1.1334,                0.52026,                  0.461,                0.44121,                0.30417,                 1.2754,                 1.7007,                 1.3634,              0.0080942,              0.0080942,              0.0080942
                     79,                0.94687,                0.84691,                 1.1187,                0.53147,                0.46963,                 0.4488,                0.30777,                 1.2812,                 1.7392,                 1.3826,              0.0080695,              0.0080695,              0.0080695
                     80,                0.97607,                0.86408,                 1.1327,                0.53711,                0.42671,                0.44186,                0.30881,                 1.2721,                 1.7264,                 1.3791,              0.0080447,              0.0080447,              0.0080447
                     81,                0.96363,                0.84632,                 1.1274,                0.54762,                0.44471,                0.44541,                0.30956,                 1.2789,                 1.7771,                 1.3693,                0.00802,                0.00802,                0.00802
                     82,                0.96102,                0.84149,                 1.1315,                0.52503,                0.46262,                0.45722,                0.31604,                 1.2695,                 1.6778,                 1.3799,              0.0079953,              0.0079953,              0.0079953
                     83,                0.97048,                0.85142,                 1.1356,                0.53469,                0.45709,                0.47056,                0.32263,                 1.2747,                 1.6791,                 1.3877,              0.0079705,              0.0079705,              0.0079705
                     84,                0.95368,                0.84199,                 1.1322,                0.54154,                0.47971,                0.46231,                0.31858,                 1.2722,                  1.651,                 1.3679,              0.0079457,              0.0079457,              0.0079457
                     85,                0.94576,                0.83745,                 1.1298,                0.55814,                0.45208,                0.45363,                0.31381,                 1.2676,                 1.7255,                  1.373,               0.007921,               0.007921,               0.007921
                     86,                0.94146,                0.84298,                 1.1309,                 0.5541,                0.45746,                0.45895,                0.31448,                 1.2748,                 1.7223,                 1.3849,              0.0078963,              0.0078963,              0.0078963
                     87,                0.95794,                0.84026,                 1.1288,                0.54382,                0.46065,                0.46988,                0.32969,                 1.2732,                 1.6947,                 1.3696,              0.0078715,              0.0078715,              0.0078715
                     88,                0.95844,                0.83788,                 1.1314,                0.57403,                0.43083,                0.45501,                0.30988,                 1.2888,                 1.6658,                 1.3876,              0.0078467,              0.0078467,              0.0078467
                     89,                0.95177,                0.83771,                 1.1214,                0.53203,                0.46493,                0.45811,                0.32042,                 1.2704,                 1.7391,                 1.3621,               0.007822,               0.007822,               0.007822
                     90,                0.95179,                 0.8322,                 1.1235,                0.55754,                0.47418,                 0.4611,                0.31907,                 1.2864,                 1.6841,                 1.3765,              0.0077973,              0.0077973,              0.0077973
                     91,                0.93321,                0.82585,                 1.1185,                0.53785,                0.46509,                0.46363,                0.31724,                 1.2617,                 1.6699,                 1.3668,              0.0077725,              0.0077725,              0.0077725
                     92,                0.93798,                0.82124,                 1.1183,                0.54458,                0.46188,                0.45308,                0.30589,                  1.286,                 1.7377,                 1.3832,              0.0077478,              0.0077478,              0.0077478
                     93,                0.94105,                0.80873,                 1.1147,                0.54347,                0.49526,                0.47876,                0.33191,                 1.2815,                 1.6226,                 1.3645,               0.007723,               0.007723,               0.007723
                     94,                0.94711,                 0.8254,                 1.1219,                0.53754,                0.48169,                0.46776,                0.32233,                 1.2646,                  1.671,                 1.3612,              0.0076983,              0.0076983,              0.0076983
                     95,                0.92734,                0.80874,                 1.1175,                0.54025,                 0.4881,                0.46202,                0.31986,                 1.2775,                 1.7324,                 1.3751,              0.0076735,              0.0076735,              0.0076735
                     96,                0.94924,                 0.8103,                 1.1193,                0.52848,                0.48007,                0.46614,                0.32113,                 1.2713,                 1.7332,                 1.3626,              0.0076488,              0.0076488,              0.0076488
                     97,                0.92193,                0.80599,                 1.1127,                 0.5168,                0.48555,                0.47144,                 0.3274,                 1.2784,                 1.7061,                 1.3726,               0.007624,               0.007624,               0.007624
                     98,                0.92243,                0.79859,                  1.116,                0.52686,                0.46189,                0.45755,                 0.3155,                  1.265,                 1.6591,                 1.3661,              0.0075993,              0.0075993,              0.0075993
                     99,                0.93376,                0.80619,                 1.1161,                0.56675,                0.46551,                0.47039,                0.32285,                 1.2785,                 1.6682,                 1.3698,              0.0075745,              0.0075745,              0.0075745
                    100,                0.94227,                0.79796,                 1.1176,                 0.5446,                 0.4776,                0.47382,                0.32807,                 1.2883,                 1.6977,                 1.3709,              0.0075498,              0.0075498,              0.0075498
                    101,                0.93845,                0.78728,                 1.1114,                0.53152,                0.47598,                0.46217,                0.32406,                 1.2614,                 1.7111,                 1.3685,               0.007525,               0.007525,               0.007525
                    102,                0.94097,                 0.7952,                 1.1132,                 0.5295,                0.46478,                0.45966,                0.31847,                 1.2692,                 1.7132,                 1.3726,              0.0075003,              0.0075003,              0.0075003
                    103,                0.91337,                0.78357,                 1.1138,                0.55822,                0.44825,                0.46915,                0.32261,                 1.2789,                 1.7283,                 1.3815,              0.0074755,              0.0074755,              0.0074755
                    104,                0.93287,                0.79762,                 1.1138,                0.56614,                0.45191,                0.46584,                0.31904,                 1.2678,                 1.6833,                 1.3741,              0.0074507,              0.0074507,              0.0074507
                    105,                0.93808,                0.80455,                 1.1194,                0.56675,                0.44929,                0.45965,                0.31903,                 1.2796,                 1.7051,                 1.3777,               0.007426,               0.007426,               0.007426
                    106,                0.92696,                0.79247,                 1.1102,                0.56383,                0.45706,                0.46319,                0.31947,                 1.2704,                 1.6644,                 1.3716,              0.0074013,              0.0074013,              0.0074013
                    107,                0.93063,                0.77826,                 1.1109,                0.51533,                0.47038,                0.45372,                0.30889,                 1.3189,                  1.736,                 1.3936,              0.0073765,              0.0073765,              0.0073765
                    108,                0.92234,                 0.7941,                  1.109,                0.57549,                0.43221,                0.45924,                 0.3202,                 1.2832,                   1.74,                 1.3833,              0.0073517,              0.0073517,              0.0073517
                    109,                0.91204,                0.78172,                 1.1095,                0.52652,                0.47195,                0.45638,                0.31502,                 1.2973,                 1.7414,                   1.39,               0.007327,               0.007327,               0.007327
                    110,                0.91653,                0.77704,                 1.1034,                0.53542,                0.44834,                 0.4456,                0.30378,                 1.3035,                 1.7885,                 1.3967,              0.0073023,              0.0073023,              0.0073023
                    111,                0.91256,                0.76786,                 1.1007,                0.54558,                0.47092,                0.47485,                0.32942,                 1.2765,                  1.684,                 1.3714,              0.0072775,              0.0072775,              0.0072775
                    112,                0.90864,                0.77723,                 1.1094,                0.54599,                0.47525,                0.46859,                0.32401,                   1.28,                 1.6661,                 1.3849,              0.0072527,              0.0072527,              0.0072527
                    113,                0.92683,                0.77293,                 1.1135,                0.48913,                0.48205,                0.45281,                0.30945,                  1.286,                 1.7449,                 1.3915,               0.007228,               0.007228,               0.007228
                    114,                0.91469,                0.76798,                 1.1017,                0.49476,                0.49015,                0.45557,                0.31337,                 1.2708,                 1.6839,                 1.3761,              0.0072033,              0.0072033,              0.0072033
                    115,                0.89785,                0.76191,                  1.093,                0.53978,                0.47139,                0.47004,                0.32104,                 1.2728,                 1.6623,                 1.3668,              0.0071785,              0.0071785,              0.0071785
                    116,                0.91268,                0.75023,                 1.1001,                0.56167,                0.44739,                 0.4609,                0.31368,                 1.2839,                 1.6918,                 1.3765,              0.0071538,              0.0071538,              0.0071538
                    117,                 0.9204,                0.75803,                 1.1041,                0.54889,                0.48809,                0.47878,                0.32277,                 1.2706,                 1.6828,                  1.373,               0.007129,               0.007129,               0.007129
                    118,                0.92601,                0.76702,                 1.1006,                0.48646,                0.50859,                0.47299,                0.33071,                 1.2758,                 1.7219,                 1.3803,              0.0071042,              0.0071042,              0.0071042
                    119,                0.91571,                0.76718,                 1.1013,                0.55912,                0.46422,                0.46529,                0.32067,                 1.2674,                 1.6679,                 1.3709,              0.0070795,              0.0070795,              0.0070795
                    120,                0.90288,                0.75514,                 1.0954,                 0.5433,                0.44924,                0.45908,                0.31791,                 1.2602,                 1.6959,                 1.3644,              0.0070547,              0.0070547,              0.0070547
                    121,                0.90485,                 0.7596,                 1.1044,                0.56804,                0.46583,                0.47553,                 0.3277,                 1.2636,                 1.7094,                 1.3712,                0.00703,                0.00703,                0.00703
                    122,                0.90097,                0.76285,                 1.1008,                0.56873,                0.44477,                0.46547,                0.32114,                 1.2687,                 1.7026,                 1.3697,              0.0070053,              0.0070053,              0.0070053
                    123,                0.91583,                0.75553,                 1.1023,                0.52655,                0.48595,                0.47754,                0.32904,                 1.2694,                 1.6809,                 1.3668,              0.0069805,              0.0069805,              0.0069805
                    124,                0.90045,                0.75671,                  1.094,                0.53507,                0.46779,                0.45655,                0.31492,                 1.2753,                 1.7085,                 1.3733,              0.0069558,              0.0069558,              0.0069558
                    125,                0.89762,                0.74827,                 1.0907,                0.56692,                0.46036,                0.47007,                0.32776,                 1.2781,                 1.6885,                 1.3857,               0.006931,               0.006931,               0.006931
                    126,                0.89991,                0.74019,                  1.092,                0.56223,                0.46509,                0.47472,                0.32663,                 1.2716,                 1.6956,                 1.3675,              0.0069063,              0.0069063,              0.0069063
                    127,                0.88448,                0.73502,                 1.0927,                0.59513,                0.45207,                0.47271,                0.32873,                 1.2734,                 1.6777,                 1.3741,              0.0068815,              0.0068815,              0.0068815
                    128,                0.90181,                0.74611,                 1.0907,                0.54467,                 0.4754,                0.47512,                0.33168,                 1.2671,                  1.703,                 1.3693,              0.0068568,              0.0068568,              0.0068568
                    129,                0.89462,                0.74107,                 1.0887,                 0.5868,                0.45617,                0.48741,                0.33582,                 1.2631,                 1.6783,                  1.365,               0.006832,               0.006832,               0.006832
